Date,Saturday Night Live
2022-01-01,7550
2022-01-02,10235
2022-01-03,6410
2022-01-04,6038
2022-01-05,5280
2022-01-06,5327
2022-01-07,5315
2022-01-08,5976
2022-01-09,9128
2022-01-10,5927
2022-01-11,5196
2022-01-12,4911
2022-01-13,4851
2022-01-14,5104
2022-01-15,5978
2022-01-16,11503
2022-01-17,7597
2022-01-18,5963
2022-01-19,5164
2022-01-20,4941
2022-01-21,5523
2022-01-22,5833
2022-01-23,11429
2022-01-24,7081
2022-01-25,5817
2022-01-26,5621
2022-01-27,5141
2022-01-28,5548
2022-01-29,5556
2022-01-30,11877
2022-01-31,6930
2022-02-01,5490
2022-02-02,5261
2022-02-03,5140
2022-02-04,4855
2022-02-05,6049
2022-02-06,8017
2022-02-07,5703
2022-02-08,4792
2022-02-09,4349
2022-02-10,4315
2022-02-11,4057
2022-02-12,4583
2022-02-13,6728
2022-02-14,6011
2022-02-15,5317
2022-02-16,5061
2022-02-17,4910
2022-02-18,4901
2022-02-19,4949
2022-02-20,6104
2022-02-21,4870
2022-02-22,4433
2022-02-23,4283
2022-02-24,3820
2022-02-25,4038
2022-02-26,4281
2022-02-27,11730
2022-02-28,7020
2022-03-01,5115
2022-03-02,4812
2022-03-03,4882
2022-03-04,6313
2022-03-05,4825
2022-03-06,9889
2022-03-07,6920
2022-03-08,4795
2022-03-09,4463
2022-03-10,4268
2022-03-11,4226
2022-03-12,4889
2022-03-13,9482
2022-03-14,7168
2022-03-15,5577
2022-03-16,5133
2022-03-17,4804
2022-03-18,4889
2022-03-19,5914
2022-03-20,8685
2022-03-21,5828
2022-03-22,5035
2022-03-23,6364
2022-03-24,4281
2022-03-25,4097
2022-03-26,4944
2022-03-27,7505
2022-03-28,6351
2022-03-29,5334
2022-03-30,5017
2022-03-31,4851
2022-04-01,4553
2022-04-02,5179
2022-04-03,10435
2022-04-04,6704
2022-04-05,5605
2022-04-06,4875
2022-04-07,4696
2022-04-08,4332
2022-04-09,4706
2022-04-10,8384
2022-04-11,5963
2022-04-12,5774
2022-04-13,5608
2022-04-14,5672
2022-04-15,5555
2022-04-16,5274
2022-04-17,9824
2022-04-18,7216
2022-04-19,5230
2022-04-20,4711
2022-04-21,5597
2022-04-22,5567
2022-04-23,5800
2022-04-24,8842
2022-04-25,6082
2022-04-26,5279
2022-04-27,4786
2022-04-28,5938
2022-04-29,5560
2022-04-30,5291
2022-05-01,7616
2022-05-02,5192
2022-05-03,4620
2022-05-04,4495
2022-05-05,4567
2022-05-06,4697
2022-05-07,4796
2022-05-08,9355
2022-05-09,6706
2022-05-10,5004
2022-05-11,4639
2022-05-12,4662
2022-05-13,4968
2022-05-14,5206
2022-05-15,10890
2022-05-16,7222
2022-05-17,5684
2022-05-18,4858
2022-05-19,4654
2022-05-20,6036
2022-05-21,10071
2022-05-22,26943
2022-05-23,16041
2022-05-24,9162
2022-05-25,6119
2022-05-26,5722
2022-05-27,5171
2022-05-28,5227
2022-05-29,6417
2022-05-30,5365
2022-05-31,4964
2022-06-01,4193
2022-06-02,4325
2022-06-03,4118
2022-06-04,4511
2022-06-05,5282
2022-06-06,4375
2022-06-07,3941
2022-06-08,3999
2022-06-09,3780
2022-06-10,3815
2022-06-11,4055
2022-06-12,4667
2022-06-13,4303
2022-06-14,3855
2022-06-15,3836
2022-06-16,3766
2022-06-17,3561
2022-06-18,3813
2022-06-19,4417
2022-06-20,3786
2022-06-21,3543
2022-06-22,3927
2022-06-23,3578
2022-06-24,3193
2022-06-25,3496
2022-06-26,4379
2022-06-27,3486
2022-06-28,3348
2022-06-29,3292
2022-06-30,3319
2022-07-01,3241
2022-07-02,3779
2022-07-03,4081
2022-07-04,3884
2022-07-05,3493
2022-07-06,3491
2022-07-07,3147
2022-07-08,3196
2022-07-09,3519
2022-07-10,3969
2022-07-11,3481
2022-07-12,3511
2022-07-13,3526
2022-07-14,3510
2022-07-15,3414
2022-07-16,3624
2022-07-17,3993
2022-07-18,3661
2022-07-19,3365
2022-07-20,3392
2022-07-21,3519
2022-07-22,3487
2022-07-23,3679
2022-07-24,4220
2022-07-25,3671
2022-07-26,3420
2022-07-27,3296
2022-07-28,3405
2022-07-29,4188
2022-07-30,4531
2022-07-31,5191
2022-08-01,4461
2022-08-02,3587
2022-08-03,3407
2022-08-04,3592
2022-08-05,3300
2022-08-06,3825
2022-08-07,4602
2022-08-08,3844
2022-08-09,3886
2022-08-10,3812
2022-08-11,3971
2022-08-12,3778
2022-08-13,3641
2022-08-14,4949
2022-08-15,4373
2022-08-16,4367
2022-08-17,4400
2022-08-18,4130
2022-08-19,4042
2022-08-20,3880
2022-08-21,4924
2022-08-22,4010
2022-08-23,3798
2022-08-24,3949
2022-08-25,3733
2022-08-26,3768
2022-08-27,3900
2022-08-28,4766
2022-08-29,4317
2022-08-30,4366
2022-08-31,4506
2022-09-01,6876
2022-09-02,7245
2022-09-03,5079
2022-09-04,5600
2022-09-05,4989
2022-09-06,4603
2022-09-07,4393
2022-09-08,3705
2022-09-09,3654
2022-09-10,4321
2022-09-11,5413
2022-09-12,4623
2022-09-13,6449
2022-09-14,4726
2022-09-15,4699
2022-09-16,5668
2022-09-17,5042
2022-09-18,6564
2022-09-19,4612
2022-09-20,7664
2022-09-21,5775
2022-09-22,4423
2022-09-23,4527
2022-09-24,4834
2022-09-25,6618
2022-09-26,4897
2022-09-27,4215
2022-09-28,4288
2022-09-29,4278
2022-09-30,4863
2022-10-01,6053
2022-10-02,21555
2022-10-03,9941
2022-10-04,6164
2022-10-05,5537
2022-10-06,5280
2022-10-07,4765
2022-10-08,4951
2022-10-09,12401
2022-10-10,8382
2022-10-11,7235
2022-10-12,5430
2022-10-13,4757
2022-10-14,5474
2022-10-15,5073
2022-10-16,9587
2022-10-17,6359
2022-10-18,4814
2022-10-19,4296
2022-10-20,4464
2022-10-21,4765
2022-10-22,5034
2022-10-23,7918
2022-10-24,5072
2022-10-25,4194
2022-10-26,4283
2022-10-27,4586
2022-10-28,4633
2022-10-29,4415
2022-10-30,10626
2022-10-31,6631
2022-11-01,4783
2022-11-02,4145
2022-11-03,4135
2022-11-04,4308
2022-11-05,4750
2022-11-06,10036
2022-11-07,6268
2022-11-08,4751
2022-11-09,3953
2022-11-10,4374
2022-11-11,4346
2022-11-12,4746
2022-11-13,10848
2022-11-14,7868
2022-11-15,5996
2022-11-16,5226
2022-11-17,4771
2022-11-18,4550
2022-11-19,4854
2022-11-20,7729
2022-11-21,4712
2022-11-22,3986
2022-11-23,3804
2022-11-24,4698
2022-11-25,3920
2022-11-26,4361
2022-11-27,5929
2022-11-28,4046
2022-11-29,3932
2022-11-30,3933
2022-12-01,3436
2022-12-02,3464
2022-12-03,3798
2022-12-04,8600
2022-12-05,5682
2022-12-06,4630
2022-12-07,4281
2022-12-08,4376
2022-12-09,3839
2022-12-10,4380
2022-12-11,11668
2022-12-12,6250
2022-12-13,4778
2022-12-14,4095
2022-12-15,6606
2022-12-16,4383
2022-12-17,4752
2022-12-18,15724
2022-12-19,9898
2022-12-20,6274
2022-12-21,5743
2022-12-22,5061
2022-12-23,6590
2022-12-24,5064
2022-12-25,4898
2022-12-26,4907
2022-12-27,4817
2022-12-28,4651
2022-12-29,4218
2022-12-30,4150
2022-12-31,4600
2023-01-01,6006
2023-01-02,5385
2023-01-03,4615
2023-01-04,4542
2023-01-05,4422
2023-01-06,4601
2023-01-07,4803
2023-01-08,7078
2023-01-09,4519
2023-01-10,3926
2023-01-11,4768
2023-01-12,4075
2023-01-13,4139
2023-01-14,4629
2023-01-15,6137
2023-01-16,4667
2023-01-17,4343
2023-01-18,4220
2023-01-19,4267
2023-01-20,4098
2023-01-21,4654
2023-01-22,11258
2023-01-23,7059
2023-01-24,5376
2023-01-25,4940
2023-01-26,5157
2023-01-27,4932
2023-01-28,5265
2023-01-29,9926
2023-01-30,6243
2023-01-31,5118
2023-02-01,4850
2023-02-02,4919
2023-02-03,4523
2023-02-04,5392
2023-02-05,13634
2023-02-06,9470
2023-02-07,6853
2023-02-08,6289
2023-02-09,5534
2023-02-10,5252
2023-02-11,5571
2023-02-12,7937
2023-02-13,4931
2023-02-14,4305
2023-02-15,4274
2023-02-16,4292
2023-02-17,5579
2023-02-18,4949
2023-02-19,7390
2023-02-20,5151
2023-02-21,4368
2023-02-22,4275
2023-02-23,4272
2023-02-24,4514
2023-02-25,5074
2023-02-26,9434
2023-02-27,6105
2023-02-28,4884
2023-03-01,4578
2023-03-02,4281
2023-03-03,4415
2023-03-04,4960
2023-03-05,10877
2023-03-06,7031
2023-03-07,5283
2023-03-08,4888
2023-03-09,5045
2023-03-10,4994
2023-03-11,6057
2023-03-12,11612
2023-03-13,7038
2023-03-14,5449
2023-03-15,4857
2023-03-16,4878
2023-03-17,4601
